LOAN_PAYMENT_ID,LOAN_ID,SCHEDULED_PAYMENT_DATE,ACTUAL_PAYMENT_DATE,SCHEDULED_AMOUNT,TOTAL_PAYMENT_AMOUNT,PRINCIPAL_AMOUNT,INTEREST_AMOUNT,FEE_AMOUNT,PAYMENT_STATUS,PAYMENT_METHOD,CREATED_TS,UPDATED_TS
1,1,2013-08-27,,536.46,0.0,0.0,0.0,0.0,MISSED,CHECK,2013-08-27 00:00:00,2026-07-18 00:00:00
2,1,2013-09-27,2013-10-11,536.46,394.93,161.51,233.42,0.0,PARTIAL,ACH,2013-09-27 00:00:00,2026-07-18 00:00:00
3,1,2013-10-27,2013-10-27,536.46,536.46,304.59,231.87,0.0,PAID,BRANCH,2013-10-27 00:00:00,2026-07-18 00:00:00
4,1,2013-11-27,2013-11-27,536.46,536.46,307.5,228.96,0.0,PAID,BRANCH,2013-11-27 00:00:00,2026-07-18 00:00:00
5,1,2013-12-27,2013-12-27,536.46,536.46,310.44,226.02,0.0,PAID,CHECK,2013-12-27 00:00:00,2026-07-18 00:00:00
6,1,2014-01-27,2014-01-27,536.46,536.46,313.41,223.05,0.0,PAID,BRANCH,2014-01-27 00:00:00,2026-07-18 00:00:00
7,1,2014-02-26,2014-02-26,536.46,536.46,316.41,220.05,0.0,PAID,CHECK,2014-02-26 00:00:00,2026-07-18 00:00:00
8,1,2014-03-29,2014-03-29,536.46,536.46,319.44,217.02,0.0,PAID,BRANCH,2014-03-29 00:00:00,2026-07-18 00:00:00
9,1,2014-04-28,2014-04-28,536.46,536.46,322.49,213.97,0.0,PAID,ACH,2014-04-28 00:00:00,2026-07-18 00:00:00
10,1,2014-05-28,2014-05-28,536.46,536.46,325.58,210.88,0.0,PAID,CHECK,2014-05-28 00:00:00,2026-07-18 00:00:00
11,1,2014-06-28,2014-06-28,536.46,536.46,328.69,207.77,0.0,PAID,AUTOPAY,2014-06-28 00:00:00,2026-07-18 00:00:00
12,1,2014-07-28,2014-07-28,536.46,536.46,331.83,204.63,0.0,PAID,ACH,2014-07-28 00:00:00,2026-07-18 00:00:00
13,1,2014-08-28,2014-08-28,536.46,536.46,335.01,201.45,0.0,PAID,CHECK,2014-08-28 00:00:00,2026-07-18 00:00:00
14,1,2014-09-27,2014-09-27,536.46,536.46,338.21,198.25,0.0,PAID,BRANCH,2014-09-27 00:00:00,2026-07-18 00:00:00
15,1,2014-10-28,2014-10-28,536.46,536.46,341.44,195.02,0.0,PAID,TRANSFER,2014-10-28 00:00:00,2026-07-18 00:00:00
16,1,2014-11-27,2014-11-27,536.46,536.46,344.71,191.75,0.0,PAID,TRANSFER,2014-11-27 00:00:00,2026-07-18 00:00:00
17,1,2014-12-27,2014-12-27,536.46,536.46,348.01,188.45,0.0,PAID,CHECK,2014-12-27 00:00:00,2026-07-18 00:00:00
18,1,2015-01-27,,536.46,0.0,0.0,0.0,0.0,MISSED,AUTOPAY,2015-01-27 00:00:00,2026-07-18 00:00:00
